@  nukpzvow xtof@xtof.org 2026-09-03 16:11:14 default@ b5deee1c
│  (no description set)
○  zlvvtrov xtof@xtof.org 2026-09-03 15:46:24 9269bca3
│  build(symbol): register the symbol component
○  yplpntuw xtof@xtof.org 2026-09-03 15:42:23 b3f3ef65
│  feat(symbol): add exact declared-surface extractor for SymbolID
○  qktupxyt xtof@xtof.org 2026-09-03 15:41:00 47b9b5af
│  feat(symbol): convert go/types objects to SymbolID under the declaring-object rule
○  onzrzvrk xtof@xtof.org 2026-09-03 15:37:59 278d2660
│  feat(symbol): normalize Capslock spellings onto the v1 grammar
○  mumrltmt xtof@xtof.org 2026-09-03 15:36:36 1518fcd7
│  feat(symbol): add SymbolID value with strict v1 textual grammar
○  qzumvyml xtof@xtof.org 2026-09-03 15:12:58 27ef396d
│  chore(awo-config): remove misleading comment from acpx-config
○  tvmnmlxs xtof@xtof.org 2026-09-03 14:39:11 c7eac25a
│  chore(awo): record bookkeeping for step03 task 03
○  mpvsulpl xtof@xtof.org 2026-09-03 14:38:50 pr/2026-08-04-compositional-component-analysis/step03/task-03-define-persisted-artifact-schemas.code-task 6944cf1a
│  refactor(proto): generate surface and stdlib-map schemas into manifest gen
○  pvysxzts xtof@xtof.org 2026-09-03 14:38:50 4912f140
│  test(archcontracts): add descriptor-level schema tests for surface and stdlib map
○  mvzpmomu xtof@xtof.org 2026-09-03 14:38:50 4114b919
│  feat(proto): define persisted artifact schemas [Compositional Analysis: Step 03/Task 03]
○  tkykompn xtof@xtof.org 2026-09-03 13:00:12 822fd86f
│  chore(awo): record bookkeeping for step03 task 02
~
